dataset,assignment,id,link,start,code,startAssignment
Fall2017,lightsCameraActionHW,c85b9711-9a09-44b1-aee0-ee4a451116a8,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=c85b9711-9a09-44b1-aee0-ee4a451116a8&assignment=lightsCameraActionHW&start=78703&end=81267&snapshots=true,78703,,
Fall2017,lightsCameraActionHW,ca818e3e-58e7-4fe6-8cde-e153e35d6c60,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=ca818e3e-58e7-4fe6-8cde-e153e35d6c60&assignment=lightsCameraActionHW&start=33118&end=82757&snapshots=true,33118,,
Fall2017,lightsCameraActionHW,cb545651-0dba-4a3d-a605-a7648ebe19f7,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=cb545651-0dba-4a3d-a605-a7648ebe19f7&assignment=lightsCameraActionHW&start=84496&end=85091&snapshots=true,84496,,
Fall2017,lightsCameraActionHW,d6b6f35c-5ee5-46f8-9b74-ecfbf45c103c,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=d6b6f35c-5ee5-46f8-9b74-ecfbf45c103c&assignment=none&start=5773&end=11730&snapshots=true,5773,,
Fall2017,lightsCameraActionHW,e00bc637-9627-4cc6-9488-e6295c730756,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=e00bc637-9627-4cc6-9488-e6295c730756&assignment=lightsCameraActionHW&start=85623&end=87135&snapshots=true,85623,,
Fall2017,lightsCameraActionHW,e99c3c1b-edb6-46c6-92af-f4a615840a51,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=e99c3c1b-edb6-46c6-92af-f4a615840a51&assignment=lightsCameraActionHW&start=44969&end=46621&snapshots=true,44969,,
Fall2017,lightsCameraActionHW,eb250efd-9d0d-4c60-a6a8-2d96c4d2c09a,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=eb250efd-9d0d-4c60-a6a8-2d96c4d2c09a&assignment=lightsCameraActionHW&start=19253&end=70914&snapshots=true,19253,,
Fall2017,lightsCameraActionHW,ff122ca3-e552-4a5c-ac77-10810d273135,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=ff122ca3-e552-4a5c-ac77-10810d273135&assignment=none&start=10332&end=62304&snapshots=true,10332,,
Fall2017,polygonMakerLab,007a7620-2278-4f2b-a151-eb18dcb80007,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=007a7620-2278-4f2b-a151-eb18dcb80007&assignment=polygonMakerLab&start=90326&end=94016&snapshots=true,90326,,
Fall2017,polygonMakerLab,15906587-de13-4929-9e17-30b8f2f14c38,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=15906587-de13-4929-9e17-30b8f2f14c38&assignment=polygonMakerLab&start=96728&end=99112&snapshots=true,96728,,
Fall2017,polygonMakerLab,19a5d7ff-dc55-437b-bcc6-68d5ca120a40,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=19a5d7ff-dc55-437b-bcc6-68d5ca120a40&assignment=polygonMakerLab&start=87597&end=90219&snapshots=true,87597,,
Fall2017,polygonMakerLab,1afd369e-eec7-4795-9ac1-7d88d78f653d,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=1afd369e-eec7-4795-9ac1-7d88d78f653d&assignment=none&start=51019&end=57914&snapshots=true,51019,,
Fall2017,polygonMakerLab,1f97f872-8546-4191-887e-7d5c5cf588e1,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=1f97f872-8546-4191-887e-7d5c5cf588e1&assignment=polygonMakerLab&start=74361&end=74993&snapshots=true,74361,,
Fall2017,polygonMakerLab,2688a23e-19e2-4981-9909-45032005aa8e,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=2688a23e-19e2-4981-9909-45032005aa8e&assignment=polygonMakerLab&start=96492&end=100474&snapshots=true,96492,,
Fall2017,polygonMakerLab,26eea3aa-bae9-41ec-892d-655bf21ce06a,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=26eea3aa-bae9-41ec-892d-655bf21ce06a&assignment=polygonMakerLab&start=90431&end=94116&snapshots=true,90431,,
Fall2017,polygonMakerLab,2878c2cb-0485-480c-830b-79ea68aee31d,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=2878c2cb-0485-480c-830b-79ea68aee31d&assignment=polygonMakerLab&start=87357&end=93609&snapshots=true,87357,,
Fall2017,polygonMakerLab,28c8ad6b-37b9-4c50-bb81-72163345fb55,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=28c8ad6b-37b9-4c50-bb81-72163345fb55&assignment=polygonMakerLab&start=94522&end=110075&snapshots=true,94522,,
Fall2017,polygonMakerLab,34630de5-e265-48e2-88e4-ed1369fee550,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=34630de5-e265-48e2-88e4-ed1369fee550&assignment=polygonMakerLab&start=70882&end=77481&snapshots=true,70882,,
Fall2017,polygonMakerLab,35bd9a0f-27d3-468a-bc0a-f8a459b079cf,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=35bd9a0f-27d3-468a-bc0a-f8a459b079cf&assignment=polygonMakerLab&start=87628&end=93919&snapshots=true,87628,,
Fall2017,polygonMakerLab,3e24ee5a-59a8-4e1e-9c1d-e7c9419c2e43,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=3e24ee5a-59a8-4e1e-9c1d-e7c9419c2e43&assignment=polygonMakerLab&start=52502&end=65848&snapshots=true,52502,,
Fall2017,polygonMakerLab,4472a64a-9986-492d-bdcc-c08c0ed30a07,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=4472a64a-9986-492d-bdcc-c08c0ed30a07&assignment=polygonMakerLab&start=87605&end=94120&snapshots=true,87605,,
Fall2017,polygonMakerLab,4926308b-b3c0-4405-a4d3-7646ce9ccb28,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=4926308b-b3c0-4405-a4d3-7646ce9ccb28&assignment=polygonMakerLab&start=50981&end=65348&snapshots=true,50981,,
Fall2017,polygonMakerLab,4f0871dc-044f-47f0-8a87-e4a809f9d0fd,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=4f0871dc-044f-47f0-8a87-e4a809f9d0fd&assignment=polygonMakerLab&start=54268&end=62751&snapshots=true,54268,,
Fall2017,polygonMakerLab,53622e7f-6f30-4e03-ac4c-ab19492f8427,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=53622e7f-6f30-4e03-ac4c-ab19492f8427&assignment=polygonMakerLab&start=69456&end=77814&snapshots=true,69456,,
Fall2017,polygonMakerLab,5da49a30-bd52-4670-93d0-e20eb7bf3ebd,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=5da49a30-bd52-4670-93d0-e20eb7bf3ebd&assignment=polygonMakerLab&start=69327&end=72394&snapshots=true,69327,,
Fall2017,polygonMakerLab,5e4a7f07-6829-459a-b09c-387aad4fe9ff,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=5e4a7f07-6829-459a-b09c-387aad4fe9ff&assignment=polygonMakerLab&start=69323&end=76782&snapshots=true,69323,,
Fall2017,polygonMakerLab,5f6bf105-1308-45f4-8699-8b652236e998,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=5f6bf105-1308-45f4-8699-8b652236e998&assignment=polygonMakerLab&start=70331&end=78176&snapshots=true,70331,,
Fall2017,polygonMakerLab,66117eac-e1f8-4ba2-bc81-f32d8edc055b,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=66117eac-e1f8-4ba2-bc81-f32d8edc055b&assignment=polygonMakerLab&start=87603&end=93786&snapshots=true,87603,,
Fall2017,polygonMakerLab,668bb463-ca1c-419e-88e7-e394ac250a15,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=668bb463-ca1c-419e-88e7-e394ac250a15&assignment=polygonMakerLab&start=55462&end=63912&snapshots=true,55462,,
Fall2017,polygonMakerLab,67a332b6-6312-4325-bbdd-15dc68324619,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=67a332b6-6312-4325-bbdd-15dc68324619&assignment=none&start=50362&end=65767&snapshots=true,50362,,
Fall2017,polygonMakerLab,6877cf8a-95b2-4cb8-abea-8d96d7f2bacc,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=6877cf8a-95b2-4cb8-abea-8d96d7f2bacc&assignment=polygonMakerLab&start=71065&end=77324&snapshots=true,71065,,
