dataset,assignment,id,link,start,code,
Spring2017,polygonMakerLab,be7891e5-d644-4f6e-aeba-b4d805385e06,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=be7891e5-d644-4f6e-aeba-b4d805385e06&assignment=polygonMakerLab&start=80062&end=84356&snapshots=true,80062,,
Spring2017,polygonMakerLab,c3e62b40-68b3-408f-8ad7-19921f753782,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=c3e62b40-68b3-408f-8ad7-19921f753782&assignment=polygonMakerLab&start=67846&end=75770&snapshots=true,67846,,
Spring2017,polygonMakerLab,c73f042a-c1a9-4d4f-bbf8-9becb776a42b,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=c73f042a-c1a9-4d4f-bbf8-9becb776a42b&assignment=polygonMakerLab&start=93503&end=97363&snapshots=true,93503,,
Spring2017,polygonMakerLab,cb28c665-f730-4672-95db-c97e7103b199,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=cb28c665-f730-4672-95db-c97e7103b199&assignment=polygonMakerLab&start=92341&end=96466&snapshots=true,92341,,
Spring2017,polygonMakerLab,cd0ecaa5-d014-49a1-bcb0-acb021ef845b,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=cd0ecaa5-d014-49a1-bcb0-acb021ef845b&assignment=polygonMakerLab&start=80891&end=85603&snapshots=true,80891,,
Spring2017,polygonMakerLab,cd343643-7099-4b24-b009-5a6edf60123a,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=cd343643-7099-4b24-b009-5a6edf60123a&assignment=polygonMakerLab&start=66067&end=72261&snapshots=true,66067,,
Spring2017,polygonMakerLab,da76c9ff-8890-4e88-9773-b5f24dedcf10,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=da76c9ff-8890-4e88-9773-b5f24dedcf10&assignment=polygonMakerLab&start=50893&end=63663&snapshots=true,50893,,
Spring2017,polygonMakerLab,db553721-b49d-4be7-acce-4db2fbc63723,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=db553721-b49d-4be7-acce-4db2fbc63723&assignment=polygonMakerLab&start=90465&end=96971&snapshots=true,90465,,
Spring2017,polygonMakerLab,df79033f-4bda-4505-8e61-6a3c0748e9c8,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=df79033f-4bda-4505-8e61-6a3c0748e9c8&assignment=polygonMakerLab&start=69889&end=76100&snapshots=true,69889,,
Spring2017,polygonMakerLab,e221da2d-262b-4cda-9dd8-060c6d33d67d,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=e221da2d-262b-4cda-9dd8-060c6d33d67d&assignment=polygonMakerLab&start=77586&end=85157&snapshots=true,77586,,
